date,open,high,low,close,volume,adj_close
2019-09-13,18.0,19.41,17.5,18.0,35993741.0,18.0
2019-09-16,18.6,19.55,18.3,18.63,9758097.0,18.63
2019-09-17,18.45,18.9,18.2,18.75,3170878.0,18.75
2019-09-18,18.83,19.7,18.63,19.59,4714162.0,19.59
2019-09-19,20.0,20.48,18.31,18.75,8525548.0,18.75
2019-09-20,18.9,20.0,18.77,19.87,4851169.0,19.87
2019-09-23,20.09,21.22,19.58,20.96,3535511.0,20.96
2019-09-24,21.51,22.08,19.67,20.71,5019945.0,20.71
2019-09-25,20.88,21.2,20.1,20.52,2627705.0,20.52
2019-09-26,20.52,20.61,18.71,19.55,3130886.0,19.55
2019-09-27,19.41,19.73,18.0,18.24,3290526.0,18.24
2019-09-30,18.25,18.73,17.51,18.57,2313431.0,18.57
2019-10-01,18.72,18.72,16.62,16.84,2626406.0,16.84
2019-10-02,16.49,17.3,15.51,17.25,3320994.0,17.25
2019-10-03,17.02,17.38,16.52,16.78,2463664.0,16.78
2019-10-04,17.12,17.45,16.6,17.27,1577780.0,17.27
2019-10-07,17.27,17.6,16.91,17.04,1427235.0,17.04
2019-10-08,16.76,17.7,16.55,17.19,1310853.0,17.19
2019-10-09,17.46,17.54,16.92,17.34,842651.0,17.34
2019-10-10,17.26,17.26,16.25,16.33,1888212.0,16.33
2019-10-11,16.32,16.61,16.11,16.47,1459687.0,16.47
2019-10-14,16.5,16.5,15.68,15.69,1293238.0,15.69
2019-10-15,15.68,16.43,15.68,16.36,1026019.0,16.36
2019-10-16,16.31,16.43,15.83,15.85,1121680.0,15.85
2019-10-17,15.88,16.35,15.83,15.91,938739.0,15.91
2019-10-18,15.93,16.17,15.25,15.29,836729.0,15.29
2019-10-21,15.37,15.69,14.5,14.97,1127668.0,14.97
2019-10-22,15.04,15.13,14.52,14.62,1212997.0,14.62
2019-10-23,14.63,15.24,14.63,14.73,894715.0,14.73
2019-10-24,14.85,15.93,14.8,15.84,1118127.0,15.84
2019-10-25,15.79,16.3,15.69,16.17,1023473.0,16.17
2019-10-28,16.3,16.41,15.8,16.03,1184943.0,16.03
2019-10-29,16.12,16.24,15.58,15.72,753510.0,15.72
2019-10-30,15.75,16.77,15.73,16.73,1093303.0,16.73
2019-10-31,16.75,16.97,16.32,16.84,918151.0,16.84
2019-11-01,16.92,17.19,16.7,16.83,705664.0,16.83
2019-11-04,17.34,17.48,16.89,17.37,1013746.0,17.37
2019-11-05,17.44,17.49,16.84,17.1,850880.0,17.1
2019-11-06,16.99,17.1,16.16,16.22,1057002.0,16.22
2019-11-07,16.47,16.84,15.55,15.89,1439956.0,15.89
2019-11-08,16.3,16.6,15.59,16.12,1498723.0,16.12
2019-11-11,15.94,16.47,15.94,16.23,503996.0,16.23
2019-11-12,16.26,16.37,16.02,16.16,338955.0,16.16
2019-11-13,16.0,16.38,15.78,16.26,713239.0,16.26
2019-11-14,16.12,16.75,16.0,16.67,659555.0,16.67
2019-11-15,16.75,17.12,16.64,16.74,815160.0,16.74
2019-11-18,16.79,16.99,16.51,16.89,460873.0,16.89
2019-11-19,16.92,16.97,16.22,16.3,861629.0,16.3
2019-11-20,16.2,17.09,16.18,16.92,761784.0,16.92
2019-11-21,16.92,17.45,16.92,17.36,1010721.0,17.36
2019-11-22,17.45,17.99,17.3,17.77,1063553.0,17.77
2019-11-25,17.8,18.22,17.74,18.07,787142.0,18.07
2019-11-26,18.2,18.83,18.07,18.79,1335127.0,18.79
2019-11-27,18.85,19.8,18.57,19.61,1665337.0,19.61
2019-11-29,19.4,19.62,19.13,19.48,496466.0,19.48
2019-12-02,19.37,19.44,18.2,18.94,1723193.0,18.94
2019-12-03,18.25,19.16,18.11,18.95,856449.0,18.95
